concept,covered,distance,best_chunk,source,page
implied vs realized volatility,False,0.8256166,130 CHAPTER 4: FORWARD STARTING PRODUCTS AND VOLATILITY INDICES VOLATILITY TERM STRUCTURE IS VERY NE...,Volatility+Trading+-+Euan+Sinclair.pdf,130
volatility surface modeling,False,0.89936674,534 OTHER TOPICS TABLE 25.1 Volatility Surface Strike Price 0.90 0.95 1.00 1.05 1.10 1 month 14.2 13...,risk management and financial institutions.pdf,650
straddle,False,1.1044445,ably have gained the entire premium of $400. This is a 44% return on his investment in 65 days. Sell...,beatthemarket.pdf,176
strangle,False,1.4310361,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ...,The Elements of Statistical Learning.pdf,124
covered call,False,0.8786094,145 145 hedging is very small. = = = = Covered calls [ buying a stock and selling a call against it]...,Thomas N. Bulkowski-Encyclopedia Of Chart Patterns.pdf,370
iron condor,False,1.2483163,"Chapter thirty-seven: “The Same Old Patterns” 563 FIGURE 272. From a 1967 high of 48½, “FLY” started...",edwards-magee-technical-analysis-of-stock-trends-9th-edition.pdf,632
volatility term structure,False,0.68923414,"VOLATILITY Trading Volatility, Correlation, Term Structure and Skew TRADING Colin Bennett...",volatility in cryptocurrencies.pdf,5
option open interest dynamics,False,0.78199303,"www.Fxborssa.com 780 Chapter 7 options, and stocks. Open interest applies only to futures and option...",Technical-Analysis-of-the-Futures-Markets-John-J.-Murphy.pdf,291
tail hedging,False,0.84512854,P art I Review of Dynamic Hedging ...,dynamic hedging.pdf,28
volatility crush,False,0.81927526,Volatility Trading...,Unknown,0
synthetic replication,False,1.2786136,System Testing 915 Synthetic Data The ultimate answer to getting test data is to create it yourself....,Trading and exchanges Market Microstructure for Practitioners.pdf,77
OTM skew behavior,False,0.90094715,7.5: Skew Trading 211 Figure 121. Vol When Equities Fall 10% Vol When Equities Rise 10% LONG SKEW TR...,Volatility+Trading+-+Euan+Sinclair.pdf,216
insider trading,True,0.5289318,Professor Larry Harris Trading and Exchanges Draft Copy ©2002 Oxford University Press Draft: March 5...,TradingOrderFlow768.pdf,2
wash trading,False,0.8510513,"132 Technical Analysis of Stock Trends Their buying would, sooner or later, engender a rally, but th...",edwards-magee-technical-analysis-of-stock-trends-9th-edition.pdf,200
pump and dump,False,1.3671005,"19 Drawing Lines Something else has to be mentioned regarding up‐channels. Bob Evans, one of the mos...",Trading algos and systems.pdf,243
front-running bots,False,1.1133451,Professor Larry Harris Trading and Exchanges Draft Copy ©2002 Oxford University Press Draft: March 5...,Trading-Volatility.pdf,261
exchange outage risk,False,1.031119,396 CREDIT RISK It is also the case that exchanges are increasingly trying to offer less standard pr...,risk management and financial institutions.pdf,507
flash crash regulation,False,0.93538934,76 ©2015 The CFA Institute Research Foundation. All Rights Reserved. Appendix A. The Flash Crash Th...,Trading-Volatility.pdf,206
spoofing and layering,False,1.0606791,A Taxonomy of Why People Trade ©2015 The CFA Institute Research Foundation. All Rights Reserved.  1...,Trading-Volatility.pdf,142
market manipulation,False,0.66656494,﻿Trading and Electronic Market﻿ 12 ©2015 The CFA Institute Research Foundation. All Rights Reserved...,Trading-Volatility.pdf,141
dark pool reporting rules,False,0.85279226,thresholds” will be set to define liquid products (that will be submitted to a regulation similar to...,market-microstructure-in-practice-second-edition-2nbsped-9789813231146-9789813231122.pdf,60
KYC AML enforcement,False,1.1589537,"PAGE 6 | THE DIGITAL ASSET DATA GUIDE FOR FINANCIAL PROFESSIONALS Compliance Of course, maintaining ...",220001-The-Digital-Asset-Guide-For-Financial-Professionals-eBook-v3.pdf,6
regulatory arbitrage,False,0.5992785,Statistical Arbitrage...,STATISTICAL_CONSEQUENCES_OF_FAT_TAILS_TE.pdf,63
jurisdictional risk,False,1.0057901,496 OTHER TOPICS as time passes is likely to depend on the claims made and other indicators that the...,risk management and financial institutions.pdf,606
market surveillance,False,0.77396643,"optimally. Furthermore, an important byproduct of trading is “price discovery”. Prices reveal inform...",market-microstructure-in-practice-second-edition-2nbsped-9789813231146-9789813231122.pdf,41
algo trading compliance,False,0.75780094,Page 78 of 150 The reason these “algos” were created was for institutional players to hide their act...,Unknown,0
post-trade transparency,False,0.6392374,"Market Transparency (p.284) whereas in the opaque market, it is: Using again inequality (8.4), we se...",Market Liquidity Theory evidence Policy Alisa Roel Foucault Marco Pagano.pdf,293
circuit breaker logic,False,1.2635412,"breakers are triggered only after a trade occurs outside of the applicable percentage threshold, the...",market-microstructure-in-practice-second-edition-2nbsped-9789813231146-9789813231122.pdf,219
reasoning under uncertainty,False,0.9113814,"T H E A E S T H E T I C S O F R A N D O M N E S S 2 7 3 seems to correspond to my epistemic opacity,...",Taleb_The-Black-Swan.pdf,389
meta-cognition in strategy switching,False,0.9771434,"356 THE INDIVIDUAL, SELF-DIRECTED TRADER line, as only one of many possible outcomes, and avoid atta...","pcmbrokers_(Wiley finance series) Adam Grimes-The art and science of technical analysis _ market structure, price action, and trading strategies-J. Wiley  &  Sons  (2012).pdf",429
confidence scoring,False,1.052959,"T H E S C A N D A L O F P R E D I C T I O N 1 3 9 kers in western Ukraine, the sales of this book du...",Taleb_The-Black-Swan.pdf,254
backtest overfitting detection,False,0.86542135,154 THE DANGERS OF BACKTESTING monetizing random historical patterns. Because those random patterns ...,Marcos Lopez de Prado - Advances in Financial Machine Learning-Wiley (2018).pdf,208
real vs simulated performance tracking,False,1.1410351,"On a benchmark-by-benchmark basis, such a decomposition can be refined towards where the Planned pri...",market-microstructure-in-practice-second-edition-2nbsped-9789813231146-9789813231122.pdf,234
regime detection,False,1.1907103,"Special Topics in Quantitative Trading 121 model to past prices, using standard statistical methods ...",algorithmic trading how to build your own algo business.pdf,143
behavioral edge extraction,False,1.1796551,"14.5 Principal Components, Curves and Surfaces 545 Alternatively, a fully connected graph includes a...",the-man-who-solved-the-market-how-jim-simons-launched-the-quant-revolution-hardcovernbsped-073521798x-9780735217980.pdf,82
reward shaping for AI agents,False,0.9922245,11 rsta.royalsocietypublishing.org Phil. Trans. R. Soc. A 0000000 . . . . . . . . . . . . . . . . . ...,Trading algos and systems.pdf,213
agent burn-in period,False,1.3069468,9 8 U M B E R T O E C O ' S A N T I U B R A R Y ingly harmless stressors do not strengthen you; they...,Taleb_The-Black-Swan.pdf,212
decision tree vs ensemble path tracing,False,1.0475006,"98 ENSEMBLE METHODS one, as excessive partitioning would again place in the testing set samples too ...",Marcos Lopez de Prado - Advances in Financial Machine Learning-Wiley (2018).pdf,153
multi-agent coordination risk,False,1.146244,"380 THE INDIVIDUAL, SELF-DIRECTED TRADER There is great potential for reinforcement of weaknesses an...","pcmbrokers_(Wiley finance series) Adam Grimes-The art and science of technical analysis _ market structure, price action, and trading strategies-J. Wiley  &  Sons  (2012).pdf",452
agent self-correction heuristics,False,1.0359972,736 TRADING SYSTEMS AND METHODS The closest practical approach to artifi cial intelligence is heuris...,Trading algos and systems.pdf,1219
